#,height,body_weight,body_fat_percentage,A_hand,Forearm_length,Upper_arm_length,Foot_length,Crim_length,Thigh_length,Head_and_neck_manager,Cervical_circumference,Upper_brachial_circumference,Front_arm_maximum_enclosure,Upper_chest_circumference,Abdominal_circumference,Femur_circumference,Crim_circumference,Owl_head_lower_edge_height,Shoulder_peak_height
AT000501,166.5,71.4,21.8,17.7,23.2,30.2,23.9,38.9,40.2,25.5,39.8,30.3,26.6,98.4,93.9,55,38.9,101.1,133.1
AT000601,165.5,59,19.8,16.8,25.9,30.5,24.2,34.9,47.3,27.1,35,27.5,25.7,89.5,85.4,50.4,36.5,97.6,130.6
AT000701,160.7,50.4,18.1,17.1,24.6,26.4,23.4,34.8,41.4,25.1,34.5,25.9,23.9,87.3,79.5,50,33.7,95.1,125.4
AT000801,162.1,62.5,22.2,16.5,24.1,29.6,23.8,35.3,37.3,25.2,39,32.1,25.5,99.6,90.1,51.5,35.3,97.8,129.4
AT000901,172.5,77.5,26.2,17,24.3,30.6,23.9,38.9,39.7,26.3,38.7,32,28.8,101.8,95,54.9,40.4,102.9,138.5
AT001001,169.3,65.8,25.4,18.2,25.5,30.6,25.3,38.8,42.1,26.3,36.8,27.9,26.1,93.7,82.7,54,35.8,101.9,135.9
AT001101,176.8,76.2,26.5,18,25.8,32.9,25.7,37.6,39,25.3,39.5,30.1,26,95.6,90.2,53.8,35.3,106.1,142.5
AT001201,166.7,54.3,14.9,17.4,24.2,29.6,24.1,36.5,38.4,25.6,35.1,26.7,24.1,83.1,83.3,47.9,36.4,98.6,130.4
AT001301,172.6,73.9,24.6,19.3,24.5,34.5,25,38.7,38.9,23.3,38.7,32.3,27.5,99,92.8,55,38.5,100,137.7
AT001401,180.9,74,19.3,19,25.8,31.2,25.2,40.2,40.8,24.3,35.7,29.5,25.1,94.5,99.4,56.3,40.1,111.3,146.7
AT001501,168.5,71.9,28.5,17.3,24.3,31.1,23.4,38.4,36.7,23.3,39.3,30.1,28.2,98,88.2,54.3,38,102.4,135.3
AT001601,174.6,79.4,21.6,19,25.5,29,26,37.5,47.3,27.7,38.7,32,29.4,99,86.5,57.9,42.6,109.2,138.2
AT001701,169.1,55.7,17.4,17.8,25.6,31.4,24.4,37,37.8,26,33.4,23.7,23.3,86.6,74,50.4,35.5,101.5,135.8
AT001801,150.3,52.1,28.4,17.4,20.8,25.8,21.9,33.7,36.9,23.4,32,25,22.1,88.3,89,54,35.4,91.6,117.6
AT002001,161.5,49.7,12.3,18.3,23.2,31.3,24.2,36.4,36.5,23,32,24.3,22.9,82,77.3,45.9,33.5,98.2,132.2
AT002101,161.5,58.3,18.3,16.9,25.2,30.7,24.3,34.4,34.4,25.9,36.3,27.5,25.4,90.8,81.5,53.3,34.2,93.4,127.2
AT002201,161.2,55.2,17.1,17.8,24.3,31.3,24.5,35.7,36.3,23.5,37.6,26.3,24.8,91,87.5,48.5,33,96.3,129.2
AT002301,165.3,71.5,28.7,18,24.9,30.7,24,36.3,42.9,23.5,38.3,30,28.6,98.5,95.5,54,36,98.7,133.6
AT002401,165.8,62.6,16.6,17.9,25.1,30.5,24.5,35.2,38.3,22.2,36.7,24.4,23.6,95.6,89.4,48,34.7,101.1,133.3
AT002501,165.1,62.4,16.9,18.5,24,28.9,23.9,35,40.3,24.2,37.7,27.3,26,94.8,82.2,50,35,108.8,132.9
AT002601,155.3,47.5,15.9,18,23.2,29,23.4,35,42.2,25,33.5,25.7,24.6,89,77.2,43.6,32.1,96,126.2
